KOG	KOGID
R	KOG1492
D	KOG1493
O	KOG1493
C	KOG1494
C	KOG1495
C	KOG1496
O	KOG1497
T	KOG1497
O	KOG1498
O	KOG1499
K	KOG1499
T	KOG1499
O	KOG1500
K	KOG1500
R	KOG1501
V	KOG1502
E	KOG1503
F	KOG1503
E	KOG1504
I	KOG1505
H	KOG1506
B	KOG1507
D	KOG1507
L	KOG1508
D	KOG1509
K	KOG1510
I	KOG1511
R	KOG1512
K	KOG1513
T	KOG1513
L	KOG1514
V	KOG1515
R	KOG1516
D	KOG1517
H	KOG1518
R	KOG1519
R	KOG1520
K	KOG1521
K	KOG1522
Z	KOG1523
R	KOG1524
D	KOG1525
C	KOG1526
H	KOG1527
F	KOG1528
P	KOG1528
V	KOG1529
P	KOG1530
